n_held_out_pts,n_held_out_anomalies,Precision,Recall,F1,ROC-AUC,AUPR,Dataset,Condition,batch_idx
3238,11,0.0,0.0,0.0,0.6901710003662281,0.005509918121292409,NAB-machine_temperature_system_failure,Continual + Gemini,22
3238,11,0.0,0.0,0.0,0.6885652308645801,0.00548180179177314,NAB-machine_temperature_system_failure,Continual + Gemini,23
3238,11,0.0,0.0,0.0,0.6883398597064541,0.005478229428729777,NAB-machine_temperature_system_failure,Continual + Gemini,24
3238,11,0.0,0.0,0.0,0.6895512296813815,0.005499265587886725,NAB-machine_temperature_system_failure,Continual + Gemini,25
3238,11,0.0,0.0,0.0,0.7075527509366988,0.005837397644737027,NAB-machine_temperature_system_failure,Continual + Gemini + RL,0
3238,11,0.0,0.0,0.0,0.7071301800152126,0.005830694905587255,NAB-machine_temperature_system_failure,Continual + Gemini + RL,1
3238,11,0.0,0.0,0.0,0.7064540665408344,0.005816744580068609,NAB-machine_temperature_system_failure,Continual + Gemini + RL,2
3238,11,0.0,0.0,0.0,0.7062286953827085,0.005812246574884278,NAB-machine_temperature_system_failure,Continual + Gemini + RL,3
3238,11,0.0,0.0,0.0,0.7054117249345015,0.005795852785971769,NAB-machine_temperature_system_failure,Continual + Gemini + RL,4
3238,11,0.0,0.0,0.0,0.7049328112234836,0.005786067600368987,NAB-machine_temperature_system_failure,Continual + Gemini + RL,5
3238,11,0.0,0.0,0.0,0.7049046398287179,0.005785560837886283,NAB-machine_temperature_system_failure,Continual + Gemini + RL,6
3238,11,0.0,0.0,0.0,0.7039468124066821,0.005766604886030369,NAB-machine_temperature_system_failure,Continual + Gemini + RL,7
3238,11,0.0,0.0,0.0,0.7031580133532411,0.005751876261576854,NAB-machine_temperature_system_failure,Continual + Gemini + RL,8
3238,11,0.0,0.0,0.0,0.7022283573259713,0.005733802043225737,NAB-machine_temperature_system_failure,Continual + Gemini + RL,9
3238,11,0.0,0.0,0.0,0.7020029861678452,0.0057289817995702964,NAB-machine_temperature_system_failure,Continual + Gemini + RL,10
3238,11,0.0,0.0,0.0,0.7021720145364397,0.005732378065301616,NAB-machine_temperature_system_failure,Continual + Gemini + RL,11
3238,11,0.0,0.0,0.0,0.7015522438515932,0.0057204894438286115,NAB-machine_temperature_system_failure,Continual + Gemini + RL,12
864,10,0.0,0.0,0.0,0.20269320843091335,0.007495287797015422,NAB-ambient_temperature_system_failure,Static (no FT),-1
864,10,0.0,0.0,0.0,0.20351288056206088,0.007502759254195622,NAB-ambient_temperature_system_failure,Naive continual,0
864,10,0.0,0.0,0.0,0.20327868852459016,0.007499983821531292,NAB-ambient_temperature_system_failure,Naive continual,1
864,10,0.0,0.0,0.0,0.2022248243559719,0.007491920510338222,NAB-ambient_temperature_system_failure,Naive continual,2
864,10,0.0,0.0,0.0,0.20210772833723653,0.007489982980054207,NAB-ambient_temperature_system_failure,Naive continual,3
864,10,0.0,0.0,0.0,0.20163934426229507,0.007484125938667782,NAB-ambient_temperature_system_failure,Naive continual,4
864,10,0.0,0.0,0.0,0.19988290398126465,0.007472115843136602,NAB-ambient_temperature_system_failure,Naive continual,5
864,10,0.0,0.0,0.0,0.20339578454332552,0.00750174015110825,NAB-ambient_temperature_system_failure,Continual + Gemini,0
864,10,0.0,0.0,0.0,0.20316159250585478,0.007499958528725205,NAB-ambient_temperature_system_failure,Continual + Gemini,1
864,10,0.0,0.0,0.0,0.20222482435597192,0.007491646867443705,NAB-ambient_temperature_system_failure,Continual + Gemini,2
864,10,0.0,0.0,0.0,0.20187353629976582,0.007487130303902457,NAB-ambient_temperature_system_failure,Continual + Gemini,3
864,10,0.0,0.0,0.0,0.20093676814988293,0.0074782570306388355,NAB-ambient_temperature_system_failure,Continual + Gemini,4
864,10,0.0,0.0,0.0,0.1990632318501171,0.007464559364362782,NAB-ambient_temperature_system_failure,Continual + Gemini,5
864,10,0.0,0.0,0.0,0.20245901639344263,0.00749356923734584,NAB-ambient_temperature_system_failure,Continual + Gemini + RL,0
864,10,0.0,0.0,0.0,0.2022248243559719,0.0074911246511691785,NAB-ambient_temperature_system_failure,Continual + Gemini + RL,1
864,10,0.0,0.0,0.0,0.20152224824355972,0.007485275940588829,NAB-ambient_temperature_system_failure,Continual + Gemini + RL,2
864,10,0.0,0.0,0.0,0.20163934426229507,0.007485382417461107,NAB-ambient_temperature_system_failure,Continual + Gemini + RL,3
